Name	Rarity	Type	Sub-Type	Class	Cost	Attack	HP	CanGet	Decription

Acidic Swamp Ooze	Free	Minion	General	Any	2	3	2	true	Battlecry: Destroy your opponent's weapon.Oozes love Flamenco.   Don't ask.
Ancestral Healing	Free	Spell		Shaman	0	-1	-1	true	Restore a minion to full Health and give it Taunt.I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.
Animal Companion	Free	Spell		Hunter	3	-1	-1	true	Summon a random Beast Companion.You could summon Misha, Leokk, or Huffer!  Huffer is more trouble than he's worth.
Arcane Explosion	Free	Spell		Mage	2	-1	-1	true	Deal 1 damage to all enemy minions.This spell is much better than Arcane Implosion.
Arcane Intellect	Free	Spell		Mage	3	-1	-1	true	Draw 2 cards.Playing this card makes you SMARTER.  And let's face it: we could all stand to be a little smarter.
Arcane Missiles	Free	Spell		Mage	1	-1	-1	true	Deal 3 damage randomly split among all enemies.You'd think you'd be able to control your missiles a little better since you're a powerful mage and all.
Arcane Shot	Free	Spell		Hunter	1	-1	-1	true	Deal 2 damage.Magi conjured arcane arrows to sell to hunters, until hunters learned just enough magic to do it themselves.  The resulting loss of jobs sent Stormwind into a minor recession.
Arcanite Reaper	Free	Weapon		Warrior	5	5	2	true	No… actually you should fear the Reaper.
Archmage	Free	Minion	General	Any	6	4	7	true	Spell Damage +1You earn the title of Archmage when you can destroy anyone who calls you on it.
Assassin's Blade	Free	Weapon		Rogue	5	3	4	true	Guaranteed to have been owned by a real assassin.   Certificate of authenticity included.
Assassinate	Free	Spell		Rogue	5	-1	-1	true	Destroy an enemy minion.If you don't want to be assassinated, move to the Barrens and change your name. Good luck!
Backstab	Free	Spell		Rogue	0	-1	-1	true	Deal 2 damage to an undamaged minion.It's funny how often yelling "Look over there!" gets your opponent to turn around.
Blessing of Kings	Free	Spell		Paladin	4	-1	-1	true	Give a minion +4/+4. (+4 Attack/+4 Health)Given the number of kings who have been assassinated, are you sure you want their blessing?
Blessing of Might	Free	Spell		Paladin	1	-1	-1	true	Give a minion +3 Attack."As in, you MIGHT want to get out of my way." - Toad Mackle, recently buffed.
Bloodfen Raptor	Free	Minion	Beast	Any	2	3	2	true	"Kill 30 raptors." - Hemet Nesingwary
Bloodlust	Free	Spell		Shaman	5	-1	-1	true	Give your minions +3 Attack this turn.blaarghghLLGHRHARAAHAHHH!!
Bluegill Warrior	Free	Minion	Murloc	Any	2	2	1	true	ChargeHe just wants a hug.   A sloppy... slimy... hug.
Booty Bay Bodyguard	Free	Minion	General	Any	5	5	4	true	TauntYou can hire him... until someone offers him enough gold to turn on you.
Boulderfist Ogre	Free	Minion	General	Any	6	6	7	true	"ME HAVE GOOD STATS FOR THE COST"
Charge	Free	Spell		Warrior	1	-1	-1	true	Give a friendly minion Charge. It can't attack heroes this turn."Guys! Guys! Slow down!" - some kind of non-warrior minion
Chillwind Yeti	Free	Minion	General	Any	4	4	5	true	He always dreamed of coming down from the mountains and opening a noodle shop, but he never got the nerve.
Claw	Free	Spell		Druid	1	-1	-1	true	Give your hero +2 Attack this turn and 2 Armor.The claw decides who will stay and who will go.
Cleave	Free	Spell		Warrior	2	-1	-1	true	Deal 2 damage to two random enemy minions.Hey you two…could you stand next to each other for a second…
Consecration	Free	Spell		Paladin	4	-1	-1	true	Deal 2 damage to all enemies.Consecrated ground glows with Holy energy.  But it smells a little, too.
Core Hound	Free	Minion	Beast	Any	7	9	5	true	You don’t tame a Core Hound. You just train it to eat someone else before it eats you.
Corruption	Free	Spell		Warlock	1	-1	-1	true	Choose an enemy minion.   At the start of your turn, destroy it.It starts with stealing a pen from work, and before you know it, BOOM!  Corrupted!
Dalaran Mage	Free	Minion	General	Any	3	1	4	true	Spell Damage +1You don't see a lot of Dalaran warriors.
Darkscale Healer	Free	Minion	General	Any	5	4	5	true	Battlecry: Restore 2 Health to all friendly characters.Healing is just something she does in her free time.   It's more of a hobby really.
Deadly Poison	Free	Spell		Rogue	1	-1	-1	true	Give your weapon +2 Attack.Rogues guard the secrets to poison-making carefully, lest magi start incorporating poison into their spells.  Poisonbolt? Rain of Poison?  Poison Elemental?  Nobody wants that.
Divine Spirit	Free	Spell		Priest	2	-1	-1	true	Double a minion's Health.Double the trouble. Double the fun!
Dragonling Mechanic	Free	Minion	General	Any	4	2	4	true	Battlecry: Summon a 2/1 Mechanical Dragonling.She is still working on installing the rocket launcher add-on for Mr. Bitey.
Drain Life	Free	Spell		Warlock	3	-1	-1	true	Deal 2 damage. Restore 2 Health to your hero."I've just sucked one year of your life away."
Dread Infernal	Free	Minion	Demon	Warlock	6	6	6	true	Battlecry: Deal 1 damage to ALL other characters."INFERNOOOOOOOOOO!" - Jaraxxus, Eredar Lord of the Burning Legion
Elven Archer	Free	Minion	General	Any	1	1	1	true	Battlecry: Deal 1 damage.Don't bother asking her out on a date.  She'll shoot you down.
Execute	Free	Spell		Warrior	2	-1	-1	true	Destroy a damaged enemy minion.It's okay, he deserved it.
Fan of Knives	Free	Spell		Rogue	3	-1	-1	true	Deal 1 damage to all enemy minions. Draw a card.I wouldn't say I LOVE knives, but I'm definitely a fan.
Fiery War Axe	Free	Weapon		Warrior	3	3	2	true	During times of tranquility and harmony, this weapon was called by its less popular name, Chilly Peace Axe.
Fire Elemental	Free	Minion	Elemental	Shaman	6	6	5	true	Battlecry: Deal 3 damage.He can never take a bath. Ewww.
Fireball	Free	Spell		Mage	4	-1	-1	true	Deal 6 damage.This spell is useful for burning things.  If you're looking for spells that toast things, or just warm them a little, you're in the wrong place.
Flamestrike	Free	Spell		Mage	7	-1	-1	true	Deal 4 damage to all enemy minions.When the ground is on fire, you should not stop, drop, and roll.
Flametongue Totem	Free	Minion	Totem	Shaman	2	0	3	true	Adjacent minions have +2 Attack.Totemsmiths like to use the rarest woods for their totems.  There are even rumors of totems made of Ironbark Protectors.
Frost Nova	Free	Spell		Mage	3	-1	-1	true	Freeze all enemy minions.Hey man, that's cold.  Literally and metaphorically.
Frost Shock	Free	Spell		Shaman	1	-1	-1	true	Deal 1 damage to an enemy character and Freeze it.FROST SHOCK!
Frostbolt	Free	Spell		Mage	2	-1	-1	true	Deal 3 damage to a character and Freeze it.It is customary to yell "Chill out!" or "Freeze!" or "Ice ice, baby!" when you play this card.
Frostwolf Grunt	Free	Minion	General	Any	2	2	2	true	TauntGrunting is what his father did and his father before that.   It's more than just a job.
Frostwolf Warlord	Free	Minion	General	Any	5	4	4	true	Battlecry: Gain +1/+1 for each other friendly minion on the battlefield.The Frostwolves are locked in combat with the Stormpike Expedition over control of Alterac Valley.  Every attempt at peace-talks has ended with Captain Galvangar killing the mediator.
Gnomish Inventor	Free	Minion	General	Any	4	2	4	true	Battlecry: Draw a card.She's never quite sure what she's making, she just knows it's AWESOME!
Goldshire Footman	Free	Minion	General	Any	1	1	2	true	TauntIf 1/2 minions are all that is defending Goldshire, you would think it would have been overrun years ago.
Grimscale Oracle	Free	Minion	Murloc	Any	1	1	1	true	Your other Murlocs have +1 Attack.These are the brainy murlocs.  It turns out that doesn’t mean much.
Guardian of Kings	Free	Minion	General	Paladin	7	5	6	true	Battlecry: Restore 6 Health to your hero.Holy beings from the beyond are so cliché!
Gurubashi Berserker	Free	Minion	General	Any	5	2	7	true	Whenever this minion takes damage, gain +3 Attack.No Pain, No Gain.
Hammer of Wrath	Free	Spell		Paladin	4	-1	-1	true	Deal 3 damage.  Draw a card.A good paladin has many tools.  Hammer of Wrath, Pliers of Vengeance, Hacksaw of Justice, etc.
Hand of Protection	Free	Spell		Paladin	1	-1	-1	true	Give a minion Divine Shield.This spell has been renamed so many times, even paladins don’t know what it should be called anymore.
Healing Touch	Free	Spell		Druid	3	-1	-1	true	Restore 8 Health.8 Health, no waiting.
Hellfire	Free	Spell		Warlock	4	-1	-1	true	Deal 3 damage to ALL characters.It's spells like these that make it hard for Warlocks to get decent help.
Heroic Strike	Free	Spell		Warrior	2	-1	-1	true	Give your hero +4 Attack this turn.Really, if you're a hero, this is every strike.
Hex	Free	Spell		Shaman	4	-1	-1	true	Transform a minion into a 0/1 Frog with Taunt.If you Hex a Murloc... it really isn't much of a change, is it?
Holy Light	Free	Spell		Paladin	2	-1	-1	true	Restore 6 Health.If you are often bathed in Holy Light, you should consider wearing sunscreen.
Holy Nova	Free	Spell		Priest	5	-1	-1	true	Deal 2 damage to all enemies.  Restore 2 Health to all  friendly characters.If the Holy Light forsakes you, good luck casting this spell.  Also, you're probably a jerk.
Holy Smite	Free	Spell		Priest	1	-1	-1	true	Deal 2 damage.It doesn't matter how pious you are.  Everyone needs a good smiting now and again.
Houndmaster	Free	Minion	General	Hunter	4	4	3	true	Battlecry: Give a friendly Beast +2/+2 and Taunt."Who let the dogs out?" he asks.  It's rhetorical.
Humility	Free	Spell		Paladin	1	-1	-1	true	Change a minion's Attack to 1.This card makes something really damp.  Oh wait.  That's "Humidity."
Hunter's Mark	Free	Spell		Hunter	1	-1	-1	true	Change a minion's Health to 1.Never play 'Hide and Go Seek' with a  Hunter.
Innervate	Free	Spell		Druid	0	-1	-1	true	Gain 1 Mana Crystal this turn only.Some druids still have flashbacks from strangers yelling "Innervate me!!" at them.
Ironbark Protector	Free	Minion	General	Druid	8	8	8	true	TauntI dare you to attack Darnassus.
Ironforge Rifleman	Free	Minion	General	Any	3	2	2	true	Battlecry: Deal 1 damage."Ready! Aim! Drink!"
Ironfur Grizzly	Free	Minion	Beast	Any	3	3	3	true	Taunt"Bear Carcass 1/10"
Kill Command	Free	Spell		Hunter	3	-1	-1	true	Deal 3 damage.  If you have a Beast, deal 5 damage instead."Kill!", he commanded.
Kobold Geomancer	Free	Minion	General	Any	2	2	2	true	Spell Damage +1In the old days, Kobolds were the finest candle merchants in the land. Then they got pushed too far...
Kor'kron Elite	Free	Minion	General	Warrior	4	4	3	true	ChargeThe Kor'kron are the elite forces of Garrosh Hellscream. Let's just say you don't want to run into these guys while wearing a blue tabard.
Light's Justice	Free	Weapon		Paladin	1	1	4	true	Prince Malchezaar was a collector of rare weapons. He'd animate them and have them dance for him.
Lord of the Arena	Free	Minion	General	Any	6	6	5	true	TauntHe used to be a 2100+ rated arena player, but that was years ago and nobody can get him to shut up about it.
Magma Rager	Free	Minion	Elemental	Any	3	5	1	true	He likes to think he is powerful, but pretty much anyone can solo Molten Core now.
Mark of the Wild	Free	Spell		Druid	2	-1	-1	true	Give a minion Taunt and +2/+2. (+2 Attack/+2 Health)Not to be confused with Jim of the Wild.
Mind Blast	Free	Spell		Priest	2	-1	-1	true	Deal 5 damage to the enemy hero.This spell blasts you directly in the MIND.
Mind Control	Free	Spell		Priest	10	-1	-1	true	Take control of an enemy minion.Nominated as "Spell Most Likely to Make Your Opponent Punch the Wall."
Mind Vision	Free	Spell		Priest	1	-1	-1	true	Put a copy of a random card in your opponent's hand into your hand.I see what you did there.
Mirror Image	Free	Spell		Mage	1	-1	-1	true	Summon two 0/2 minions with Taunt.Oh hey it's Mirror Image!!egamI rorriM s'ti yeh hO
Moonfire	Free	Spell		Druid	0	-1	-1	true	Deal 1 damage."Cast Moonfire, and never stop." - How to Be a Druid, Chapter 5, Section 3
Mortal Coil	Free	Spell		Warlock	1	-1	-1	true	Deal 1 damage to a minion. If that kills it, draw a card.If your spells look like horrifying skulls, let's be honest, you should get to draw some cards.
Multi-Shot	Free	Spell		Hunter	4	-1	-1	true	Deal 3 damage to two random enemy minions.You see, it's all about throughput.
Murloc Raider	Free	Minion	Murloc	Any	1	2	1	true	Mrrraggglhlhghghlgh, mrgaaag blarrghlgaahahl mrgggg glhalhah a bghhll graggmgmg Garrosh mglhlhlh mrghlhlhl!!
Murloc Tidehunter	Free	Minion	Murloc	Any	2	2	1	true	Battlecry: Summon a 1/1 Murloc Scout."Death will rise, from the tides!"
Nightblade	Free	Minion	General	Any	5	4	4	true	Battlecry: Deal 3 damage to the enemy hero.Your face is the place you'd probably least like a dagger, and where rogues are most likely to deliver them.
Northshire Cleric	Free	Minion	General	Priest	1	1	3	true	Whenever a minion is healed, draw a card.They help the downtrodden and distressed.  Also they sell cookies.
Novice Engineer	Free	Minion	General	Any	2	1	1	true	Battlecry: Draw a card."Half of this class will not graduate… since they'll have been turned to chickens." - Tinkmaster Overspark, teaching Gizmos 101.
Oasis Snapjaw	Free	Minion	Beast	Any	4	2	7	true	His dreams of flying and breathing fire like his idol will never be realized.
Ogre Magi	Free	Minion	General	Any	4	4	4	true	Spell Damage +1Training Ogres in the art of spellcasting is a questionable decision.
